x, y, z
0.004046, 0.003058, 0.001322
0.002228, 0.001554, 0.004013
0.003035, 0.002812, 0.001822
0.003329, 0.004028, 0.003539
0.003924, 0.003191, 0.002929
0.001178, 0.003996, 0.001624
0.000790, 0.003061, 0.002272
0.001817, 0.000563, 0.000539
0.003585, 0.001023, 0.001816
0.001059, 0.003234, 0.003913
0.002553, 0.000499, 0.004098
0.002680, 0.002957, 0.002526
0.002212, 0.003209, 0.003239
0.003828, 0.001979, 0.001810
0.003900, 0.001508, 0.002768
0.003905, 0.001489, 0.000664
0.002640, 0.002468, 0.002942
0.003562, 0.002722, 0.001786
0.002895, 0.002020, 0.002605
0.002548, 0.004193, 0.004277
0.000505, 0.003009, 0.001827
0.003678, 0.000807, 0.001050
0.004178, 0.002829, 0.002695
0.000822, 0.001237, 0.001724
0.003585, 0.001253, 0.000987
0.000260, 0.004142, 0.001604
0.004200, 0.000743, 0.003757
0.000724, 0.001194, 0.001906
0.001535, 0.001721, 0.003576
0.004031, 0.002796, 0.003333
0.003167, 0.001271, 0.004302
0.000768, 0.003512, 0.001105
0.003667, 0.003279, 0.003068
0.002287, 0.003479, 0.002720
0.003414, 0.002899, 0.003406
0.004230, 0.003212, 0.001619
0.001038, 0.001522, 0.002962
0.000641, 0.001428, 0.001632
0.002951, 0.003083, 0.003084
0.004208, 0.003012, 0.003422
0.003490, 0.003026, 0.003223
0.004046, 0.002596, 0.000214
0.000539, 0.001513, 0.001462
0.004182, 0.004312, 0.001190
0.002337, 0.003547, 0.002261
0.000061, 0.004039, 0.003296
0.000920, 0.001878, 0.003347
0.000570, 0.000568, 0.003254
0.003364, 0.001867, 0.000776
0.002698, 0.000849, 0.001669
0.003766, 0.001940, 0.004053
0.003204, 0.002890, 0.002595
0.000783, 0.003494, 0.003761
0.001818, 0.001667, 0.004192
0.002444, 0.002867, 0.003862
0.002424, 0.004224, 0.004298
0.004148, 0.002070, 0.004012
0.003034, 0.002354, 0.003840
0.003751, 0.003332, 0.002348
0.003856, 0.000472, 0.003632
0.003880, 0.002144, 0.002338
0.001357, 0.003761, 0.003455
0.003979, 0.001957, 0.004204
0.004045, 0.000635, 0.004035
0.000410, 0.001801, 0.003031
0.002613, 0.003310, 0.003225
0.003961, 0.002362, 0.000449
0.001778, 0.004144, 0.003543
0.003776, 0.001970, 0.003498
0.002289, 0.001210, 0.001861
0.002173, 0.001682, 0.002188
0.003465, 0.003229, 0.000047
0.004234, 0.003408, 0.000705
0.003824, 0.003909, 0.003961
0.002943, 0.002126, 0.004092
0.001470, 0.001665, 0.003063
0.003514, 0.000412, 0.002690
0.000762, 0.004173, 0.002221
0.002937, 0.002049, 0.004300
0.000111, 0.004266, 0.000995
0.002726, 0.000207, 0.004107
0.003561, 0.001288, 0.001581
0.003752, 0.001645, 0.000949
0.003146, 0.001943, 0.002672
0.002943, 0.000925, 0.002194
0.001501, 0.001221, 0.003630
0.001857, 0.002215, 0.001692
0.000587, 0.000698, 0.004184
0.002179, 0.001083, 0.004230
0.001514, 0.002259, 0.003690
0.000591, 0.003521, 0.004341
0.001088, 0.000911, 0.001564
0.003420, 0.004101, 0.003770
0.002814, 0.000163, 0.004288
0.003129, 0.002291, 0.004198
0.002646, 0.003780, 0.002420
0.003397, 0.001016, 0.000785
0.001198, 0.001651, 0.003286
0.002456, 0.000668, 0.001308
0.001776, 0.001802, 0.001213
